id,label,path
0,angry,./images/train\angry\0.jpg
1,angry,./images/train\angry\1.jpg
10,angry,./images/train\angry\10.jpg
10002,angry,./images/train\angry\10002.jpg
10016,angry,./images/train\angry\10016.jpg
10037,angry,./images/train\angry\10037.jpg
10038,angry,./images/train\angry\10038.jpg
10057,angry,./images/train\angry\10057.jpg
10063,angry,./images/train\angry\10063.jpg
10069,angry,./images/train\angry\10069.jpg
10100,angry,./images/train\angry\10100.jpg
10105,angry,./images/train\angry\10105.jpg
10115,angry,./images/train\angry\10115.jpg
10122,angry,./images/train\angry\10122.jpg
10142,angry,./images/train\angry\10142.jpg
1015,angry,./images/train\angry\1015.jpg
10154,angry,./images/train\angry\10154.jpg
10155,angry,./images/train\angry\10155.jpg
10158,angry,./images/train\angry\10158.jpg
1016,angry,./images/train\angry\1016.jpg
10167,angry,./images/train\angry\10167.jpg
10178,angry,./images/train\angry\10178.jpg
1018,angry,./images/train\angry\1018.jpg
10181,angry,./images/train\angry\10181.jpg
10192,angry,./images/train\angry\10192.jpg
10196,angry,./images/train\angry\10196.jpg
10202,angry,./images/train\angry\10202.jpg
10207,angry,./images/train\angry\10207.jpg
10214,angry,./images/train\angry\10214.jpg
10223,angry,./images/train\angry\10223.jpg
10226,angry,./images/train\angry\10226.jpg
10240,angry,./images/train\angry\10240.jpg
10242,angry,./images/train\angry\10242.jpg
10250,angry,./images/train\angry\10250.jpg
10251,angry,./images/train\angry\10251.jpg
10253,angry,./images/train\angry\10253.jpg
10265,angry,./images/train\angry\10265.jpg
10287,angry,./images/train\angry\10287.jpg
10302,angry,./images/train\angry\10302.jpg
10310,angry,./images/train\angry\10310.jpg
10325,angry,./images/train\angry\10325.jpg
10348,angry,./images/train\angry\10348.jpg
10359,angry,./images/train\angry\10359.jpg
10363,angry,./images/train\angry\10363.jpg
10364,angry,./images/train\angry\10364.jpg
10373,angry,./images/train\angry\10373.jpg
10377,angry,./images/train\angry\10377.jpg
10378,angry,./images/train\angry\10378.jpg
10385,angry,./images/train\angry\10385.jpg
